案件番号,表題,フォルダ,尺,尺(秒),解像度,比率,向き,fps,映像,音声,ビットレート(Mbps),容量(MB),軽量版,ファイル名,相対パス,軽量版パス
4,イオンタウンふじみ野 ハロウィン サイネージ用動画,（直下）,0:19,19.1,960x572,1.68:1,横,29.97,h264,aac,2.6,6,あり,（4）イオンタウンふじみ野 ハロウィン サイネージ用動画.mp4,（4）イオンタウンふじみ野 ハロウィン サイネージ用動画.mp4,（4）イオンタウンふじみ野 ハロウィン サイネージ用動画_1.mp4
8,20240416_北陽電機_4月分_修正校_01,（直下）,0:50,49.5,1920x1080,16:9,横,29.97,h264,aac,4.8,30,あり,（8）20240416_北陽電機_4月分_修正校_01.mp4,（8）20240416_北陽電機_4月分_修正校_01.mp4,（8）20240416_北陽電機_4月分_修正校_01_1.mp4
8,チラシ動画制作2025年12月分_北陽電機株式会社_外注,（直下）,0:46,46.4,1920x1080,16:9,横,29.97,h264,aac,6.3,37,あり,（8）チラシ動画制作2025年12月分_北陽電機株式会社_外注.mp4,（8）チラシ動画制作2025年12月分_北陽電機株式会社_外注.mp4,（8）チラシ動画制作2025年12月分_北陽電機株式会社_外注_1.mp4
13,新通コム丨万博_ノルディックサークル_サイネージ動画,（直下）,26:08,1567.8,1920x1080,16:9,横,29.97,h264,aac,10.7,2092,あり,（13）新通コム丨万博_ノルディックサークル_サイネージ動画.mp4,（13）新通コム丨万博_ノルディックサークル_サイネージ動画.mp4,（13）新通コム丨万博_ノルディックサークル_サイネージ動画_1.mp4
25,キンコーズ様_MPM,（直下）,5:00,300.4,1920x1080,16:9,横,29.97,h264,aac,1.1,40,あり,（25）キンコーズ様_MPM.mp4,（25）キンコーズ様_MPM.mp4,（25）キンコーズ様_MPM_1.mp4
25,新通コム｜万博＿ノルディックサークル＿スライドショームービー,（直下）,12:23,742.7,1920x1080,16:9,横,29.97,h264,aac,10.3,959,あり,（25）新通コム｜万博＿ノルディックサークル＿スライドショームービー.mp4,（25）新通コム｜万博＿ノルディックサークル＿スライドショームービー.mp4,（25）新通コム｜万博＿ノルディックサークル＿スライドショームービー_1.mp4
30,ユニ・チャーム株式会社_株式会社ADKクリエイティブ・ワン_グラン・デリFrecious,（直下）,0:15,15.0,1920x1080,16:9,横,29.97,h264,aac,5.8,11,あり,（30）ユニ・チャーム株式会社_株式会社ADKクリエイティブ・ワン_グラン・デリFrecious.mp4,（30）ユニ・チャーム株式会社_株式会社ADKクリエイティブ・ワン_グラン・デリFrecious.mp4,（30）ユニ・チャーム株式会社_株式会社ADKクリエイティブ・ワン_グラン・デリFrecious_1.mp4
35,ＵＢＥマシナリー 社員インタビュー動画,（直下）,3:10,190.1,1920x1080,16:9,横,29.97,h264,aac,2.3,54,あり,（35）ＵＢＥマシナリー 社員インタビュー動画.mp4,（35）ＵＢＥマシナリー 社員インタビュー動画.mp4,（35）ＵＢＥマシナリー 社員インタビュー動画_1.mp4
36,天領_サイネージ用_15秒動画制作,（直下）,0:17,17.0,1920x1080,16:9,横,29.97,h264,aac,10.8,23,あり,（36）天領_サイネージ用_15秒動画制作.mp4,（36）天領_サイネージ用_15秒動画制作.mp4,（36）天領_サイネージ用_15秒動画制作_1.mp4
37,共栄セキュリティーサービス_大和通信社_TVCM_ホワイトボードアニメーション,（直下）,0:30,30.0,1920x1080,16:9,横,29.97,h264,aac,4.5,17,あり,（37）共栄セキュリティーサービス_大和通信社_TVCM_ホワイトボードアニメーション.mp4,（37）共栄セキュリティーサービス_大和通信社_TVCM_ホワイトボードアニメーション.mp4,（37）共栄セキュリティーサービス_大和通信社_TVCM_ホワイトボードアニメーション_1.mp4
40,パナソニック_AWE事業紹介動画｜SPセンター,（直下）,5:33,333.1,1920x1080,16:9,横,29.97,h264,aac,10.6,442,あり,（40）パナソニック_AWE事業紹介動画｜SPセンター.mp4,（40）パナソニック_AWE事業紹介動画｜SPセンター.mp4,（40）パナソニック_AWE事業紹介動画｜SPセンター_1.mp4
40,ＵＢＥマシナリー 社員インタビュー動画,（直下）,3:10,190.1,1920x1080,16:9,横,29.97,h264,aac,2.3,54,,（40）ＵＢＥマシナリー 社員インタビュー動画.mp4,（40）ＵＢＥマシナリー 社員インタビュー動画.mp4,
40,ＵＢＥマシナリー 社員インタビュー動画_2,（直下）,3:10,190.1,1920x1080,16:9,横,29.97,h264,aac,2.3,55,,（40）ＵＢＥマシナリー 社員インタビュー動画_2.mp4,（40）ＵＢＥマシナリー 社員インタビュー動画_2.mp4,
43,MIZUNO_歴史動画,（直下）,3:50,230.4,1920x1080,16:9,横,29.97,h264,aac,10.3,298,あり,（43）MIZUNO_歴史動画.mp4,（43）MIZUNO_歴史動画.mp4,（43）MIZUNO_歴史動画_1.mp4
